datatype,datasize,time,memory,sorted,stable
ascending,1000,647.8,4096,true,true
ascending,1000,597.5,4096,true,true
ascending,1000,625.4,4096,true,true
ascending,1000,610,4096,true,true
ascending,1000,612.2,4096,true,true
ascending,1000,599.2,4096,true,true
ascending,1000,715.8,4096,true,true
ascending,1000,1010,4096,true,true
ascending,1000,791,4096,true,true
ascending,1000,713.8,4096,true,true
descending,1000,748.4,8008,true,true
descending,1000,1172.8,8008,true,true
descending,1000,701,8008,true,true
descending,1000,803.9,8008,true,true
descending,1000,981.1,8008,true,true
descending,1000,763.4,8008,true,true
descending,1000,698.1,8008,true,true
descending,1000,1120.7,8008,true,true
descending,1000,1195.7,8008,true,true
descending,1000,1259.1,8008,true,true
random,1000,1141.6,8008,true,true
random,1000,889.4,8008,true,true
random,1000,463,8008,true,true
random,1000,677,8008,true,true
random,1000,928.2,8008,true,true
random,1000,1060.8,8008,true,true
random,1000,874,8008,true,true
random,1000,1135,8008,true,true
random,1000,1141.6,8008,true,true
random,1000,1105.9,8008,true,true
partially sorted,1000,749.5,8008,true,true
partially sorted,1000,741.7,8008,true,true
partially sorted,1000,902.1,8008,true,true
partially sorted,1000,915.1,8008,true,true
partially sorted,1000,1257,8008,true,true
partially sorted,1000,1111.8,8008,true,true
partially sorted,1000,1399.9,8008,true,true
partially sorted,1000,1629.3,8008,true,true
partially sorted,1000,1328.7,8008,true,true
partially sorted,1000,1142.9,8008,true,true
ascending,10000,72698.7,80008,true,true
ascending,10000,70690.3,80008,true,true
ascending,10000,70160,80008,true,true
ascending,10000,68905.4,80008,true,true
ascending,10000,72602.8,80008,true,true
ascending,10000,67890.5,80008,true,true
ascending,10000,68909.2,80008,true,true
ascending,10000,66765.6,80008,true,true
ascending,10000,68430.5,80008,true,true
ascending,10000,65988.8,80008,true,true
descending,10000,70842.8,80008,true,true
descending,10000,70041,80008,true,true
descending,10000,81414.8,80008,true,true
descending,10000,81961.5,80008,true,true
descending,10000,80092.4,80008,true,true
descending,10000,83108.8,80008,true,true
descending,10000,97282.1,80008,true,true
descending,10000,81097.1,80008,true,true
descending,10000,79626,80008,true,true
descending,10000,76542,80008,true,true
random,10000,55480.1,80008,true,true
random,10000,55922.1,80008,true,true
random,10000,58672.2,80008,true,true
random,10000,59464.4,80008,true,true
random,10000,61359,80008,true,true
random,10000,60144,80008,true,true
random,10000,62816.3,80008,true,true
random,10000,57289.6,80008,true,true
random,10000,61217.8,80008,true,true
random,10000,57273.9,80008,true,true
partially sorted,10000,70824.8,80008,true,true
partially sorted,10000,68101.3,80008,true,true
partially sorted,10000,67514.6,80008,true,true
partially sorted,10000,64861,80008,true,true
partially sorted,10000,97025.6,80008,true,true
partially sorted,10000,73750.8,80008,true,true
partially sorted,10000,85992.5,80008,true,true
partially sorted,10000,80642.7,80008,true,true
partially sorted,10000,83802.8,80008,true,true
partially sorted,10000,77364.2,80008,true,true
ascending,100000,6.97359e+06,800008,true,true
ascending,100000,6.63017e+06,800008,true,true
ascending,100000,6.49803e+06,800008,true,true
ascending,100000,6.92084e+06,800008,true,true
ascending,100000,7.13117e+06,800008,true,true
ascending,100000,8.97625e+06,800008,true,true
ascending,100000,8.32238e+06,800008,true,true
ascending,100000,7.22455e+06,800008,true,true
ascending,100000,7.72508e+06,800008,true,true
ascending,100000,8.50726e+06,800008,true,true
descending,100000,8.71653e+06,800008,true,true
descending,100000,8.10628e+06,800008,true,true
descending,100000,8.27239e+06,800008,true,true
descending,100000,7.86063e+06,800008,true,true
descending,100000,8.11628e+06,800008,true,true
descending,100000,8.30143e+06,800008,true,true
descending,100000,8.17243e+06,800008,true,true
descending,100000,9.01117e+06,800008,true,true
descending,100000,8.30147e+06,800008,true,true
descending,100000,9.87509e+06,800008,true,true
random,100000,1.81517e+07,800008,true,true
random,100000,1.63558e+07,800008,true,true
random,100000,1.63775e+07,800008,true,true
random,100000,1.57482e+07,800008,true,true
random,100000,1.67415e+07,800008,true,true
random,100000,1.62806e+07,800008,true,true
random,100000,1.65898e+07,800008,true,true
random,100000,1.67951e+07,800008,true,true
random,100000,1.65503e+07,800008,true,true
random,100000,1.57217e+07,800008,true,true
partially sorted,100000,8.55947e+06,800008,true,true
partially sorted,100000,8.51906e+06,800008,true,true
partially sorted,100000,8.47713e+06,800008,true,true
partially sorted,100000,9.31284e+06,800008,true,true
partially sorted,100000,9.72392e+06,800008,true,true
partially sorted,100000,9.73215e+06,800008,true,true
partially sorted,100000,8.75551e+06,800008,true,true
partially sorted,100000,9.43807e+06,800008,true,true
partially sorted,100000,9.25475e+06,800008,true,true
partially sorted,100000,9.07269e+06,800008,true,true
ascending,1000000,9.54103e+08,8000008,true,true
ascending,1000000,9.40208e+08,8000008,true,true
ascending,1000000,1.02659e+09,8000008,true,true
descending,1000000,1.11814e+09,8000008,true,true
descending,1000000,1.15571e+09,8000008,true,true
descending,1000000,1.1556e+09,8000008,true,true
random,1000000,2.09085e+09,8000008,true,true
random,1000000,1.91504e+09,8000008,true,true
random,1000000,1.79173e+09,8000008,true,true
partially sorted,1000000,9.75166e+08,8000008,true,true
partially sorted,1000000,9.57734e+08,8000008,true,true
partially sorted,1000000,1.06598e+09,8000008,true,true
