datatype,datasize,time,memory,sorted,stable
ascending,1000,148.5,4096,true,true
ascending,1000,121,4096,true,true
ascending,1000,97,4096,true,true
ascending,1000,161.7,4096,true,true
ascending,1000,123.5,4096,true,true
ascending,1000,106.6,4096,true,true
ascending,1000,146.8,4096,true,true
ascending,1000,195.5,4096,true,true
ascending,1000,148.6,4096,true,true
ascending,1000,110.7,4096,true,true
descending,1000,178.6,8008,true,true
descending,1000,119.9,8008,true,true
descending,1000,246.7,8008,true,true
descending,1000,166.5,8008,true,true
descending,1000,236.2,8008,true,true
descending,1000,237.5,8008,true,true
descending,1000,252.9,8008,true,true
descending,1000,1371.3,8008,true,true
descending,1000,140.8,8008,true,true
descending,1000,156.9,8008,true,true
random,1000,186.7,8008,true,true
random,1000,235.5,8008,true,true
random,1000,214.5,8008,true,true
random,1000,207,8008,true,true
random,1000,216.3,8008,true,true
random,1000,165.4,8008,true,true
random,1000,240.8,8008,true,true
random,1000,208.7,8008,true,true
random,1000,140.5,8008,true,true
random,1000,252.9,8008,true,true
partially sorted,1000,138.7,8008,true,true
partially sorted,1000,160.4,8008,true,true
partially sorted,1000,124.5,8008,true,true
partially sorted,1000,224.8,8008,true,true
partially sorted,1000,224.3,8008,true,true
partially sorted,1000,242.6,8008,true,true
partially sorted,1000,133.2,8008,true,true
partially sorted,1000,240,8008,true,true
partially sorted,1000,226.3,8008,true,true
partially sorted,1000,155.4,8008,true,true
ascending,10000,11365.8,80008,true,true
ascending,10000,11433.5,80008,true,true
ascending,10000,10227.2,80008,true,true
ascending,10000,13810.6,80008,true,true
ascending,10000,18959.9,80008,true,true
ascending,10000,12210,80008,true,true
ascending,10000,12195.3,80008,true,true
ascending,10000,13246,80008,true,true
ascending,10000,10884.6,80008,true,true
ascending,10000,15130.1,80008,true,true
descending,10000,17538.8,80008,true,true
descending,10000,17999.2,80008,true,true
descending,10000,12645.9,80008,true,true
descending,10000,20807.5,80008,true,true
descending,10000,13411.6,80008,true,true
descending,10000,13512.5,80008,true,true
descending,10000,17567.9,80008,true,true
descending,10000,12288.1,80008,true,true
descending,10000,10664,80008,true,true
descending,10000,12360.9,80008,true,true
random,10000,12271.9,80008,true,true
random,10000,11729.5,80008,true,true
random,10000,18045.8,80008,true,true
random,10000,11001.3,80008,true,true
random,10000,15335.1,80008,true,true
random,10000,10099,80008,true,true
random,10000,9560.7,80008,true,true
random,10000,17317.8,80008,true,true
random,10000,10263.3,80008,true,true
random,10000,14001.6,80008,true,true
partially sorted,10000,10379.9,80008,true,true
